Trial 3 power 1 (W),time (seconds since jan 1 1975),Trial 3 power 2 (W),time (seconds since jan 1 1975),Sdifference
2.10E-05,1750367026,3.50E-05,1750367026,-2.50E-01
2.10E-05,1750367026,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367026,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367026,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367026,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367026,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367027,3.49E-05,1750367027,-2.49E-01
2.10E-05,1750367028,3.48E-05,1750367027,-2.47E-01
2.10E-05,1750367028,3.48E-05,1750367027,-2.47E-01
2.10E-05,1750367028,3.48E-05,1750367028,-2.47E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.48E-05,1750367028,-2.45E-01
2.11E-05,1750367028,3.47E-05,1750367028,-2.44E-01
2.11E-05,1750367028,3.47E-05,1750367028,-2.44E-01
2.11E-05,1750367028,3.47E-05,1750367028,-2.44E-01
2.11E-05,1750367028,3.47E-05,1750367028,-2.44E-01
2.10E-05,1750367028,3.48E-05,1750367028,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367028,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367029,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367029,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367029,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367029,-2.47E-01
2.10E-05,1750367029,3.48E-05,1750367029,-2.47E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.11E-05,1750367029,3.47E-05,1750367029,-2.44E-01
2.11E-05,1750367029,3.47E-05,1750367029,-2.44E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.11E-05,1750367029,3.48E-05,1750367029,-2.45E-01
2.10E-05,1750367030,3.48E-05,1750367029,-2.47E-01
2.11E-05,1750367030,3.48E-05,1750367030,-2.45E-01
2.11E-05,1750367030,3.48E-05,1750367030,-2.45E-01
