Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.11E-05,1750366829,3.48E-05,1750366829,-2.45E-01
2.10E-05,1750366829,3.48E-05,1750366829,-2.47E-01
2.10E-05,1750366829,3.48E-05,1750366829,-2.47E-01
2.10E-05,1750366830,3.48E-05,1750366829,-2.47E-01
2.10E-05,1750366830,3.48E-05,1750366830,-2.47E-01
2.10E-05,1750366830,3.48E-05,1750366830,-2.47E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366830,3.50E-05,1750366830,-2.50E-01
2.10E-05,1750366830,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366830,-2.49E-01
2.10E-05,1750366831,3.50E-05,1750366831,-2.50E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.50E-05,1750366831,-2.50E-01
2.10E-05,1750366831,3.50E-05,1750366831,-2.50E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366831,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366831,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.48E-05,1750366832,-2.47E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366832,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366833,3.49E-05,1750366832,-2.49E-01
2.10E-05,1750366833,3.49E-05,1750366833,-2.49E-01
2.10E-05,1750366833,3.49E-05,1750366833,-2.49E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.49E-05,1750366833,-2.49E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.10E-05,1750366833,3.48E-05,1750366833,-2.47E-01
2.09E-05,1750366834,3.48E-05,1750366834,-2.50E-01
2.09E-05,1750366834,3.48E-05,1750366834,-2.50E-01
2.09E-05,1750366834,3.48E-05,1750366834,-2.50E-01
2.10E-05,1750366834,3.48E-05,1750366834,-2.47E-01
2.09E-05,1750366834,3.48E-05,1750366834,-2.50E-01
2.09E-05,1750366834,3.48E-05,1750366834,-2.50E-01
2.10E-05,1750366834,3.48E-05,1750366834,-2.47E-01
2.10E-05,1750366834,3.48E-05,1750366834,-2.47E-01
2.10E-05,1750366834,3.48E-05,1750366834,-2.47E-01
2.10E-05,1750366834,3.49E-05,1750366834,-2.49E-01
2.10E-05,1750366834,3.49E-05,1750366834,-2.49E-01
2.10E-05,1750366834,3.49E-05,1750366834,-2.49E-01
2.10E-05,1750366834,3.49E-05,1750366834,-2.49E-01
2.10E-05,1750366834,3.49E-05,1750366834,-2.49E-01
2.10E-05,1750366834,3.49E-05,1750366835,-2.49E-01
